network,size,searchtype,method,pcore,intercategorical,d,solution,gof,partition
befig1,10,exhaustive,nordlund,com,dnc,,1,1,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.3333,1,0.6686,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.2833,1,0.6664,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.3833,1,0.6665,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0,1,0.5837,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.05,1,0.6046,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.1,1,0.6237,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.15,1,0.6401,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.2,1,0.6533,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.25,1,0.6625,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.3,1,0.6676,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.35,1,0.6683,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.4,1,0.6648,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.45,1,0.6574,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.5,1,0.6467,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.55,1,0.6332,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.6,1,0.6175,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.65,1,0.6004,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.7,1,0.5824,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.75,1,0.568,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.8,1,0.5606,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.85,1,0.5533,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.9,1,0.5461,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,0.95,1,0.5391,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,denuci,1,1,0.5324,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.3333,1,1,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.2833,1,0.9484,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.3833,1,0.9504,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0,1,0.5837,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.05,1,0.6387,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.1,1,0.6919,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.15,1,0.7954,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.2,1,0.8486,(0;0;0;0;1;1;1;0;1;1)
befig1,10,exhaustive,nordlund,com,den,0.2,2,0.8486,(0;0;0;0;0;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.25,1,0.9047,(0;0;0;0;1;1;1;0;1;1)
befig1,10,exhaustive,nordlund,com,den,0.25,2,0.9047,(0;0;0;0;0;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.3,1,0.9484,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.35,1,1,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.4,1,0.9047,(1;0;0;0;0;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.4,2,0.9047,(0;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.45,1,0.8973,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.45,2,0.8973,(0;0;1;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.45,3,0.8973,(0;0;0;1;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.5,1,0.9484,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.55,1,0.8486,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.6,1,0.8045,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.65,1,0.7635,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.7,1,0.7251,(1;0;0;0;1;1;1;1;1;1)
befig1,10,exhaustive,nordlund,com,den,0.75,1,0.6889,(1;0;0;0;1;1;1;1;1;1)
